prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,9.100783457898152e-07,1.322606388534707e-06,4.1252804274489183e-07,14,26
rep_002,repetition,8.77903723831614e-07,1.2064075931646557e-06,3.2850386933304167e-07,14,26
rep_003,repetition,0.0004481092009205599,0.0007411107273615279,0.000293001526440968,14,26
rep_004,repetition,0.0006913420641792188,0.0009387016468527089,0.00024735958267349013,14,26
rep_005,repetition,0.000526765853621429,0.0007482429182545195,0.00022147706463309053,14,26
rep_006,repetition,0.0003411546902361736,0.0005701587349627517,0.00022900404472657806,14,26
rep_007,repetition,0.0030073108809930828,0.003257088800422317,0.0002497779194292342,14,26
rep_008,repetition,0.00011408408079601086,0.00015291066404801468,3.882658325200382e-05,14,26
rep_009,repetition,0.0006428438844845012,0.0009395068217559043,0.0002966629372714031,14,26
rep_010,repetition,7.871568462699024e-07,1.1188497022001842e-06,3.3169285593028184e-07,14,26
