prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,0.0034656517630900253,0.004252863120053241,0.0007872113569632154,31,1
rep_002,repetition,0.007086956751375204,0.008416373890463204,0.001329417139088,31,1
rep_003,repetition,0.006395166288965207,0.008708137191515773,0.0023129709025505665,31,1
rep_004,repetition,0.009218267003638354,0.010154027425272842,0.0009357604216344885,31,1
rep_005,repetition,0.016473392995767822,0.0183975741033313,0.0019241811075634795,31,1
rep_006,repetition,0.007493069679576725,0.010525946734880899,0.0030328770553041734,31,1
rep_007,repetition,0.012404454247162315,0.013782241976759462,0.0013777877295971467,31,1
rep_008,repetition,0.005367124160910332,0.006033799872507088,0.0006666757115967557,31,1
rep_009,repetition,0.015533759393862812,0.020052355382861677,0.004518595988998866,31,1
rep_010,repetition,0.0026699932977159954,0.002982938942401488,0.0003129456446854927,31,1
