step,split,task_loss,reg_loss,topo_drift,condition
0,train,1.1783084869384766,0.0,5.140695604003425,no_reg
1,train,0.7310001850128174,0.0,5.003993550557729,no_reg
2,train,1.713312029838562,0.0,5.1679512563256935,no_reg
3,train,1.1404376029968262,0.0,5.130588907297151,no_reg
4,train,1.2631888389587402,0.0,5.105640414680536,no_reg
5,train,1.708489179611206,0.0,5.1946508613169895,no_reg
6,train,1.7029523849487305,0.0,5.167097260020008,no_reg
7,train,1.7553373575210571,0.0,5.143756886809562,no_reg
8,train,1.4332456588745117,0.0,5.108443606134122,no_reg
9,train,2.331385850906372,0.0,5.156520177607861,no_reg
10,train,3.8679311275482178,0.0,5.2006400035848275,no_reg
11,train,4.263493061065674,0.0,5.179828445209453,no_reg
12,train,3.987537384033203,0.0,5.2144733091955455,no_reg
13,train,3.6063790321350098,0.0,5.194135543021133,no_reg
14,train,2.9120638370513916,0.0,5.177690792326033,no_reg
15,train,4.922757148742676,0.0,5.219800838484292,no_reg
16,train,4.383604526519775,0.0,5.193013349333677,no_reg
17,train,3.8535802364349365,0.0,5.210833973472718,no_reg
18,train,4.92063570022583,0.0,5.208957864634385,no_reg
19,train,3.359581708908081,0.0,5.172535984379404,no_reg
19,val,2.3141756415367127,0.0,5.1651389070406735,no_reg
20,train,2.292357921600342,0.0,5.168218303730028,no_reg
21,train,1.4213701486587524,0.0,5.1314690550775435,no_reg
22,train,3.5852773189544678,0.0,5.150962607641415,no_reg
23,train,1.248300552368164,0.0,5.024007429393317,no_reg
24,train,2.2338569164276123,0.0,5.130981342887829,no_reg
25,train,1.2554025650024414,0.0,5.163319926551039,no_reg
26,train,1.4555644989013672,0.0,5.108104520256054,no_reg
27,train,2.1090824604034424,0.0,5.154843318742267,no_reg
28,train,1.8759257793426514,0.0,5.138366675806282,no_reg
29,train,2.072511911392212,0.0,5.14159377446151,no_reg
30,train,2.45854115486145,0.0,5.107216275566158,no_reg
31,train,1.9501664638519287,0.0,5.102071069382842,no_reg
32,train,2.4947566986083984,0.0,5.130208929252923,no_reg
33,train,2.6186254024505615,0.0,5.124864564563227,no_reg
34,train,2.3492605686187744,0.0,5.059989199634829,no_reg
35,train,2.8718173503875732,0.0,5.129343041118284,no_reg
36,train,2.334181785583496,0.0,5.118915902559259,no_reg
37,train,3.155283212661743,0.0,5.144878190475894,no_reg
38,train,3.975743532180786,0.0,5.149282438223007,no_reg
39,train,2.856229782104492,0.0,5.128656761220958,no_reg
39,val,2.056117224693298,0.0,5.166373423423781,no_reg
40,train,0.43420839309692383,0.0,5.145414796152778,no_reg
41,train,0.29261067509651184,0.0,5.016862111952643,no_reg
42,train,0.795018196105957,0.0,5.173252125717612,no_reg
43,train,0.6460793614387512,0.0,5.110780424337368,no_reg
44,train,0.5539860129356384,0.0,5.1134931836243585,no_reg
45,train,0.9060021638870239,0.0,5.184547484841097,no_reg
46,train,1.0650807619094849,0.0,5.172709819056124,no_reg
47,train,0.9143463373184204,0.0,5.144529903378279,no_reg
48,train,0.7842778563499451,0.0,5.118958428473199,no_reg
49,train,1.6002413034439087,0.0,5.158430606607227,no_reg
50,train,3.126645803451538,0.0,5.203810313642367,no_reg
51,train,3.010127305984497,0.0,5.183520108465281,no_reg
52,train,3.282273530960083,0.0,5.217345089872447,no_reg
53,train,2.90682315826416,0.0,5.181574031147298,no_reg
54,train,2.262540817260742,0.0,5.187251431843445,no_reg
55,train,3.5250535011291504,0.0,5.225537979539497,no_reg
56,train,3.6101303100585938,0.0,5.208089302108269,no_reg
57,train,3.069018840789795,0.0,5.208406653047208,no_reg
58,train,3.6411101818084717,0.0,5.195503366603177,no_reg
59,train,2.518221855163574,0.0,5.179535066939851,no_reg
59,val,1.660263304412365,0.0,5.167475763093898,no_reg
60,train,1.7078301906585693,0.0,5.17158561762773,no_reg
61,train,1.0861140489578247,0.0,5.14633198678965,no_reg
62,train,2.9060425758361816,0.0,5.172621528027709,no_reg
63,train,0.9677219986915588,0.0,5.055092400497573,no_reg
64,train,1.663047194480896,0.0,5.150971803362893,no_reg
65,train,0.9428088665008545,0.0,5.162677866773736,no_reg
66,train,1.0657597780227661,0.0,5.122642738948343,no_reg
