prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,2.080645643526444e-05,2.8034045737464058e-05,7.227589302199619e-06,27,2
rep_002,repetition,3.9724144382101694e-05,5.283082155972854e-05,1.3106677177626846e-05,27,2
rep_003,repetition,0.0007841563509043018,0.001333783890984439,0.0005496275400801373,27,2
rep_004,repetition,0.0002604101562438039,0.0003416458951575548,8.123573891375091e-05,27,2
rep_005,repetition,0.00020310345195462428,0.0002740101883109388,7.090673635631455e-05,27,2
rep_006,repetition,0.00012936065249379643,0.0001955344005315408,6.617374803774437e-05,27,2
rep_007,repetition,0.0004402458710566072,0.0006612203661209231,0.0002209744950643159,27,2
rep_008,repetition,4.982398958544488e-05,7.151278764235209e-05,2.1688798056907207e-05,27,2
rep_009,repetition,0.0005360164818133298,0.0008424203431659768,0.000306403861352647,27,2
rep_010,repetition,0.0002670264378158537,0.0003964359150077993,0.0001294094771919456,27,2
