layer,head
1,12
27,2
35,8
38,9
2,0
7,0
39,5
39,4
2,2
10,4
2,1
1,13
0,3
35,3
1,6
7,4
1,5
5,15
1,2
28,6
16,6
32,5
3,0
6,0
2,14
35,12
1,8
14,11
