prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,3.236113132317153e-06,4.038423547614238e-06,8.023104152970851e-07,19,20
rep_002,repetition,7.776542063312915e-06,9.636610407116107e-06,1.8600683438031925e-06,19,20
rep_003,repetition,0.001130132988146054,0.0014696092928670119,0.0003394763047209579,19,20
rep_004,repetition,0.00010689978058165747,0.00011850631774718968,1.1606537165532213e-05,19,20
rep_005,repetition,0.00039998524914944234,0.0005135441204280255,0.00011355887127858318,19,20
rep_006,repetition,0.0002174827493965946,0.00029419520630982163,7.671245691322703e-05,19,20
rep_007,repetition,8.535877044808314e-05,0.00010898995624498642,2.363118579690327e-05,19,20
rep_008,repetition,1.2616124758600793e-05,1.5036892626011085e-05,2.420767867410292e-06,19,20
rep_009,repetition,0.00045101731615482157,0.0005653933621393636,0.00011437604598454204,19,20
rep_010,repetition,2.7639299641066626e-05,3.575216437103385e-05,8.112864729967227e-06,19,20
