prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,0.0028358078398843015,0.004397423281931255,0.0015616154420469539,21,3
rep_002,repetition,0.003090747478773058,0.005128171478058801,0.0020374239992857427,21,3
rep_003,repetition,0.010350240079685616,0.019125371832557993,0.008775131752872378,21,3
rep_004,repetition,0.004344363380745272,0.010452738212128098,0.006108374831382826,21,3
rep_005,repetition,0.010096616959136108,0.0175697436846621,0.007473126725525992,21,3
rep_006,repetition,0.015974199138787535,0.026064133156007318,0.010089934017219783,21,3
rep_007,repetition,0.008519590227564131,0.01951018856485035,0.010990598337286217,21,3
rep_008,repetition,0.008593561322279362,0.016239356303824046,0.007645794981544683,21,3
rep_009,repetition,0.009525048473017722,0.015666405876538135,0.006141357403520413,21,3
rep_010,repetition,0.006730928180841274,0.011444816671698686,0.004713888490857412,21,3
