prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,0.0030930725225349295,0.004988396728922971,0.001895324206388041,21,1
rep_002,repetition,0.005673268280169499,0.008354513153803518,0.0026812448736340186,21,1
rep_003,repetition,0.003401046032700192,0.005552389786737195,0.002151343754037003,21,1
rep_004,repetition,0.009554160098981372,0.011149545051352381,0.0015953849523710085,21,1
rep_005,repetition,0.013958532669805524,0.01978243722414784,0.005823904554342315,21,1
rep_006,repetition,0.008834195261557971,0.015609170768549945,0.0067749755069919735,21,1
rep_007,repetition,0.006299660972330753,0.009347374526203845,0.003047713553873092,21,1
rep_008,repetition,0.004319637892271649,0.006207270446549117,0.0018876325542774679,21,1
rep_009,repetition,0.011266794700941142,0.01632860725396885,0.005061812553027709,21,1
rep_010,repetition,0.003551977335302413,0.005423128084937275,0.0018711507496348622,21,1
