layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.0009207671715153588,0.010085409359155884,60,neutral,0.9666666666666667
0,1,0.00321258916268273,0.02144594397228879,60,neutral,0.9333333333333333
0,2,0.003519355955104979,0.0242093985809515,60,neutral,0.9
0,3,0.0010582814176404284,0.008940700031465174,60,neutral,0.9833333333333333
0,4,-0.0018183983110238954,0.010114410146291735,60,neutral,0.9833333333333333
0,5,-0.00047383810713808386,0.02265452602828534,60,neutral,0.8833333333333333
0,6,0.0,0.0,60,neutral,1.0
0,7,0.0012870574990908304,0.012599898055381432,60,neutral,0.9833333333333333
0,8,-0.00017447736528184674,0.004570981040842219,60,neutral,1.0
0,9,0.006223541531297895,0.02419739640473819,60,neutral,0.9166666666666666
0,10,0.001853326956431071,0.01678844002602177,60,neutral,0.95
0,11,0.006827949093598308,0.020214508997638405,60,neutral,0.9166666666666666
0,12,0.004518867035706838,0.028288207961746234,60,neutral,0.8166666666666667
0,13,0.0008364457388718926,0.026994759819602334,60,neutral,0.85
0,14,-0.0027964175575309327,0.020544959640697885,60,neutral,0.9
0,15,-0.0018134839052245729,0.009114065154749355,60,neutral,0.9666666666666667
0,16,0.003247522385347457,0.028242631130441755,60,neutral,0.8666666666666667
0,17,0.006563552017249758,0.0328427387848454,60,neutral,0.7333333333333333
0,18,-0.003931835594552535,0.04524998813061256,60,neutral,0.6833333333333333
0,19,0.004548079901271396,0.029374546413278312,60,neutral,0.8833333333333333
0,20,0.00116207097494413,0.019249840427634016,60,neutral,0.95
0,21,0.0,0.0,60,neutral,1.0
0,22,-0.00063590407371521,0.015860414204432596,60,neutral,0.9166666666666666
0,23,-0.0034146596988042194,0.02683984239101326,60,neutral,0.8666666666666667
0,24,-0.0075980479518572485,0.027809982825625554,60,neutral,0.85
0,25,-0.00667259759373135,0.044060948618809936,60,neutral,0.6
0,26,-0.004114213585853577,0.01761564538273397,60,neutral,0.9333333333333333
0,27,-0.0074428205688794455,0.04714171269840132,60,neutral,0.65
1,0,0.0004045595228672027,0.019783273346390857,60,neutral,0.8666666666666667
1,1,0.0,0.0,60,neutral,1.0
1,2,-0.0008819520473480225,0.006831571183064853,60,neutral,0.9833333333333333
1,3,0.000945998231569926,0.012027158859901393,60,neutral,0.95
1,4,-0.0011259069045384724,0.008708852775685607,60,neutral,0.9833333333333333
1,5,0.0007059276103973389,0.011837451662049612,60,neutral,0.95
1,6,-0.004077802350123724,0.015444226606836803,60,neutral,0.9333333333333333
1,7,0.005224800970819262,0.0178100216347802,60,neutral,0.9
1,8,-0.0020541672905286155,0.022007925314694973,60,neutral,0.8833333333333333
1,9,-0.0027967538436253865,0.018162546203923886,60,neutral,0.9
1,10,0.0009091675281524658,0.022580000826037044,60,neutral,0.9
1,11,0.0002858189079496596,0.022907099789249926,60,neutral,0.9
1,12,-0.006392585734526317,0.019008160461194884,60,neutral,0.9
