prompt_id,category,score_normal,score_masked,delta,layer,head
rep_001,repetition,8.241522494524326e-06,8.672925904537287e-06,4.314034100129614e-07,21,15
rep_002,repetition,8.72896685525743e-06,9.030015438501279e-06,3.0104858324384883e-07,21,15
rep_003,repetition,0.0008871085622013855,0.001076228467370389,0.0001891199051690034,21,15
rep_004,repetition,8.835409430428507e-05,0.00010729779007719063,1.8943695772905556e-05,21,15
rep_005,repetition,0.0001341798979643535,0.0001409775638874264,6.797665923072879e-06,21,15
rep_006,repetition,0.0001622800804446515,0.00021314672158097197,5.086664113632046e-05,21,15
rep_007,repetition,4.892339409430975e-07,5.737002190846336e-07,8.44662781415361e-08,21,15
rep_008,repetition,1.514070632424453e-05,1.594388842162299e-05,8.031820973784619e-07,21,15
rep_009,repetition,8.472848323134447e-05,0.00010510357085050758,2.0375087619163112e-05,21,15
rep_010,repetition,8.311369968723404e-06,1.2121356769099035e-05,3.8099868003756307e-06,21,15
