layer,head
2,20
16,20
2,26
15,28
2,13
16,23
1,21
14,26
2,27
2,21
10,12
19,15
2,25
6,9
5,4
9,8
1,17
2,12
0,29
19,12
15,2
27,7
19,13
27,5
15,30
2,22
27,4
8,8
