layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
0,0,-0.0010643288493156432,0.026890631055298254,40,neutral,0.8
0,1,0.0,0.0,40,neutral,1.0
0,2,-0.0001749962568283081,0.0011067735071624938,40,neutral,1.0
0,3,-0.007178762555122375,0.0357426835092195,40,neutral,0.7
0,4,1.1828541755676269e-05,0.02191119516407265,40,neutral,0.925
0,5,0.0,0.0,40,neutral,1.0
0,6,-0.0017535324146350224,0.012567210942598293,40,neutral,0.95
0,7,-0.005480182766914368,0.02609672383471348,40,neutral,0.875
0,8,0.006921558827161789,0.023826963079798057,40,neutral,0.85
0,9,0.0,0.0,40,neutral,1.0
0,10,0.004168488687229535,0.01793424806679929,40,neutral,0.95
0,11,0.0015858419062126246,0.012894485090492638,40,neutral,0.975
0,12,0.00023205019178844602,0.005613276587312649,40,neutral,1.0
0,13,0.0129635340010836,0.03217149999151918,40,neutral,0.8
0,14,0.0086071282128493,0.029025833216683047,40,neutral,0.85
0,15,-0.00025134533643722534,0.001241208137319815,40,neutral,1.0
0,16,-5.3074782093366286e-05,0.01758633756449195,40,neutral,0.925
0,17,-0.0004808324327071508,0.02166677174880958,40,neutral,0.9
0,18,0.0,0.0,40,neutral,1.0
0,19,-0.0046486314137776695,0.018491653706819388,40,neutral,0.9
0,20,0.004781417529143039,0.02182662256146602,40,neutral,0.925
0,21,-0.0008894738342080802,0.0018072899516114911,40,neutral,1.0
0,22,-4.231929779052734e-07,2.6765073999399533e-06,40,neutral,1.0
0,23,-0.0015544958909352621,0.013155817990774478,40,neutral,0.925
0,24,0.0003970566640297572,0.010584473931749242,40,neutral,0.975
0,25,-0.00032963849729349614,0.0009216311404860464,40,neutral,1.0
0,26,-1.930495103200265e-05,7.065051090996427e-05,40,neutral,1.0
0,27,-5.3345412015914914e-05,0.024190972617312335,40,neutral,0.875
0,28,7.262825965881347e-06,4.593414460319483e-05,40,neutral,1.0
0,29,-0.0034240394830703734,0.03001186847901373,40,neutral,0.85
0,30,-0.0017182640731334686,0.029231950873115285,40,neutral,0.925
0,31,0.001466535031795502,0.028267831568972997,40,neutral,0.825
1,0,0.0023967235287030543,0.02028758921865985,40,neutral,0.9
1,1,0.002146036780693315,0.023223152390060273,40,neutral,0.875
1,2,0.00311818200917471,0.01898045707172977,40,neutral,0.925
1,3,-0.0018292336105499407,0.014142049601223587,40,neutral,0.95
1,4,-1.3007968664169312e-05,7.247994370363731e-05,40,neutral,1.0
1,5,0.004623870675762495,0.021416293701696502,40,neutral,0.9
1,6,0.00495465561747551,0.020939198165813203,40,neutral,0.875
1,7,-0.003280742626105037,0.009000825551679185,40,neutral,0.975
1,8,0.0038326804718327896,0.024328855567691567,40,neutral,0.825
1,9,-0.0010033346712589263,0.01952538317008844,40,neutral,0.9
1,10,-0.010685354471206665,0.03373832993439541,40,neutral,0.725
1,11,0.00405420795083046,0.02942545505119698,40,neutral,0.75
1,12,0.012639747063318888,0.03130790381065554,40,neutral,0.775
1,13,0.002285111943880717,0.016635495099761467,40,neutral,0.975
1,14,0.0020583781351645788,0.02204448866318707,40,neutral,0.9
1,15,0.008786786297957103,0.02159534015324327,40,neutral,0.85
1,16,-0.0016869204089282048,0.030826673048768922,40,neutral,0.8
1,17,-0.002658163011074066,0.011450978885683118,40,neutral,0.95
1,18,0.01252528769150768,0.03579549499357877,40,neutral,0.8
1,19,-0.006514399988310678,0.032905711395547786,40,neutral,0.8
1,20,0.00451584056019783,0.02229940170873303,40,neutral,0.875
1,21,-0.009705819686253865,0.03157983504783381,40,neutral,0.7
1,22,0.012380256615579129,0.03479300607852802,40,neutral,0.775
1,23,0.013573311058022244,0.02476254470801619,40,neutral,0.825
1,24,0.018239564118640764,0.05082584166728726,40,cone,0.425
1,25,-0.0031302462021509806,0.04145685572886452,40,neutral,0.725
1,26,0.005259704589413702,0.022230585938027177,40,neutral,0.925
1,27,0.013311272768510712,0.0325082972434239,40,neutral,0.7
1,28,0.017709352374076844,0.03311595995578923,40,neutral,0.775
1,29,0.0064102647205193835,0.019747106299605178,40,neutral,0.9
